userDashboardId,chartId,visibility,position
01,001,true,1
01,014,true,2
01,015,true,3
01,016,true,4
01,017,true,5
01,018,true,6
01,002,true,7
01,004,true,8
01,003,true,9
01,005,true,10
01,006,true,11
01,007,true,12
01,008,true,13
01,009,true,14
01,010,true,15
01,011,true,16
01,012,true,17
01,013,true,18
02,100,true,1
02,101,true,2
02,102,true,3
02,103,true,4
02,104,true,5
02,105,true,6
02,106,true,7
02,107,true,8
02,108,true,9
02,109,true,10
02,110,true,11
02,111,true,12
03,200,true,1
03,201,true,2
03,202,true,3
03,203,true,4
03,204,true,5
03,205,true,6
03,206,true,7
03,207,true,8
03,208,true,9
03,209,true,10
03,210,true,11
03,211,true,12
03,212,true,13
03,213,true,14
03,214,true,15
03,215,true,16
03,216,true,17
